p3d_living-room-3-view0_part6;5100;5340;5540;4300;5060;5020;4140;2140;4660;5140;3980;4380;3980;3580;4620;2580;
p3d_living-room-3-view1_part6;5900;5020;4260;4500;4620;4820;4460;3660;4340;4660;3740;3980;3420;3020;3500;5020;
p3d_living-room-view0_part6;4980;6780;7620;7380;4620;3180;5900;3060;6460;5340;5180;5220;4980;6420;5100;4540;
p3d_living-room-view1_part6;6300;4780;4900;6900;7180;4140;5460;5220;5860;4300;4340;4500;2940;3180;4260;4420;
p3d_living-room-view2_part6;7900;7420;6420;4660;6140;5500;4380;4420;6020;4300;5500;6220;3620;4540;4900;5260;
p3d_low_table_2spheric_view0_part6;2100;2420;2220;2300;4100;7260;6420;4180;3860;5460;3940;2820;2180;4020;2660;2540;
p3d_low_table_coridor_view0_part6;4180;5700;4500;3260;9220;10000;10000;8060;6980;9060;10000;8420;8020;10000;9860;9220;
p3d_low_table_upper_view0_part6;980;940;940;860;2500;4740;4420;1300;1980;2860;3220;1780;3140;2900;3780;3140;
p3d_low_table_window-view0_part6;2740;3260;2620;2540;3980;6100;5660;2740;4180;2940;3380;1860;3140;3860;3740;2540;
p3d_pavilion-day-view0_part6;3020;4700;3660;3860;3460;2500;5020;4700;2220;2260;2460;2020;3340;3340;3700;4220;
p3d_pavilion-day-view1_part6;5500;6300;7420;7220;3900;2940;3740;5540;4620;1980;2180;3300;2620;1940;1660;1740;
p3d_pavilion-day-view2_part6;1660;2060;1500;1780;2980;3740;3940;2820;1460;2020;1700;1500;900;980;1660;2780;
p3d_pavilion-night-view0_part6;8860;9140;9660;9860;10000;10000;9220;8780;6500;5180;5620;4860;10000;10000;8980;5860;
p3d_pavilion-night-view1_part6;10000;10000;10000;10000;10000;1020;6860;9220;10000;6180;7380;9820;10000;10000;10000;9340;
p3d_pavilion-night-view2_part6;700;2140;1620;2980;4540;9660;10000;4940;5780;3540;5180;3580;2620;3140;3380;3620;
p3d_rubix-view0_part6;2380;2100;2420;2100;2180;2380;2580;2100;2860;2060;2500;2340;2060;1860;3100;1420;
p3d_sanmiguel-view0_part6;2580;3220;6220;5460;2820;3620;6380;6580;2700;2820;4380;3820;4140;3100;3180;3900;
p3d_sanmiguel-view1_part6;6300;7060;5100;4660;3660;5100;2580;5180;3180;4860;2900;2660;3100;4660;2420;4180;
