p3d_living-room-3-view1_part6;7480;2920;6220;2760;4840;4420;4500;4920;5720;5740;6340;4820;4180;4580;6040;5300;
p3d_living-room-view0_part6;5560;8600;10000;8220;4600;3720;5500;4460;4840;4560;5060;6160;8860;9520;6560;7560;
p3d_living-room-view1_part6;5400;7700;6740;7700;6920;4640;5100;5500;8040;6540;5780;6940;5140;4340;6240;7400;
p3d_living-room-view2_part6;8320;8560;6660;7860;10000;6140;3120;4360;4440;4320;3600;3860;6020;8120;5500;5500;
p3d_low_table_2spheric_view0_part6;2200;2640;2360;2700;7820;8720;10000;4640;3160;6340;4060;3780;3400;3960;3760;3500;
p3d_low_table_coridor_view0_part6;4200;6780;7120;4460;10000;10000;10000;10000;10000;10000;9260;10000;10000;10000;10000;10000;
p3d_low_table_upper_view0_part6;680;580;740;780;3080;8320;5040;1140;3840;2700;3400;3000;4780;4520;6420;4860;
p3d_low_table_window-view0_part6;3000;3960;2140;2760;5780;9480;9440;3540;5760;6260;3700;360;4740;5060;5440;3320;
p3d_pavilion-day-view0_part6;2120;5980;6960;5660;3340;3680;5740;5820;2300;2980;2720;2220;7960;6640;7680;7780;
p3d_pavilion-day-view1_part6;7160;7660;10000;7100;5420;3180;5700;5580;4520;2480;2920;4000;2300;2140;2120;1660;
p3d_pavilion-day-view2_part6;520;660;620;700;2440;5040;4660;3260;1720;1660;1520;1960;1060;1420;480;540;
p3d_pavilion-night-view0_part6;4960;10000;10000;10000;10000;6360;10000;10000;4240;3820;4460;5420;1700;800;10000;8180;
p3d_pavilion-night-view1_part6;200;10000;10000;10000;200;9420;10000;10000;10000;8080;10000;8240;200;10000;10000;10000;
p3d_pavilion-night-view2_part6;940;1440;1740;2440;6960;10000;10000;7000;2640;3340;5240;3820;2420;2760;3320;3900;
p3d_rubix-view0_part6;1980;1340;3080;2980;2560;3720;2560;2540;6380;4460;4560;3080;2920;2960;3700;3060;
p3d_sanmiguel-view0_part6;2520;3220;3840;9080;3840;3940;8660;7280;2980;4260;4780;7160;5040;4940;4920;6180;
p3d_sanmiguel-view1_part6;8240;8040;5760;4840;6000;5580;3120;4060;3200;3300;1700;2720;4100;5820;3420;6140;
p3d_sanmiguel-view2_part6;5520;6980;8000;9920;4340;6000;7780;8400;5740;4980;5220;7660;6040;5600;6880;5600;
p3d_sanmiguel-view3_part6;10000;10000;10000;200;9980;7900;10000;10000;7220;10000;10000;10000;10000;9720;10000;10000;
p3d_spaceship-view0_part6;2040;2980;2020;1800;3480;3300;2280;2620;200;280;2520;1300;200;200;800;1640;
p3d_sportscar-view0_part6;2980;4520;4780;5960;2000;4360;2620;2880;6840;4120;4140;5120;5040;6500;5020;7420;
p3d_staircase-view0_part6;3020;1580;1480;1200;4200;3720;1940;2220;4040;3200;2720;3240;4260;3920;3320;4120;
p3d_staircase-view1_part6;680;460;440;460;1160;400;620;760;1660;1840;1100;1140;2140;2340;3300;3180;
p3d_staircase2-view0_part6;4300;2240;3800;6920;3700;1680;1660;8480;5280;3360;2200;4300;8280;7180;6020;3460;
p3d_staircase2-view1_part6;3140;3140;5980;7920;4120;5340;7720;10000;7400;3240;4420;3740;4820;3580;3520;3300;
p3d_tt-view0_part6;2420;4240;3940;3900;2880;4960;3540;1580;3300;1100;3900;2800;5360;3360;4460;5400;
p3d_tungsten_veach-mis-view0_part6;1320;600;900;600;2780;1140;2220;2520;680;1060;960;1280;1780;2740;3100;3000;
p3d_veach-ajar-view0_part6;10000;4420;1820;3840;10000;10000;8720;10000;10000;10000;6920;10000;10000;10000;10000;10000;
p3d_veach-ajar-view1_part6;9440;8480;4800;1980;8200;7360;7560;10000;10000;8740;8680;7920;10000;10000;10000;10000;
p3d_villa-daylight-view0_part6;6680;5840;4740;4740;4140;3380;2260;1620;5020;4000;1980;2100;4040;3140;3320;1880;
p3d_villa-daylight-view1_part6;1480;1700;2460;2740;5800;5020;3200;3080;3160;3540;2560;1860;1640;2400;1920;2260;
p3d_villa-daylight-view2_part6;3300;3840;5500;2980;5120;4940;5180;3880;3980;1720;3200;1900;3420;3180;2080;2600;
p3d_vw-van-view0_part6;3960;2760;2480;4440;2120;3240;4780;4240;5640;4540;2660;1900;4020;7140;4980;2840;
p3d_whiteroom-daytime-view0_part6;200;200;200;200;1000;200;200;200;1380;660;440;200;2120;1100;2040;740;
p3d_whiteroom-night-view0_part6;8020;7880;9460;7900;7280;8020;7720;9740;9100;10000;8060;8740;5360;8280;5720;8120;
